Region,Poblacion,Superficie,Fecha,Nuevos.Sintomaticos,Nuevos.Asintomaticos,Nuevos.No.Notificados,Nuevos.Confirmados,Tasa.Incidencia,Casos.Confirmados,Nuevos.Fallecidos,Casos.Fallecidos,Letalidad,Activos.Confirmados,Activos.Probables,Probables.Acumulados,Recuperados.Confirmados,Fecha.Primer.Contagiado,Periodo.Infeccioso,Pacientes.UCI,Examenes.PCR,Examenes.PCR.Acumulados,Tasa.Positividad,I.Movilidad,Residencias.Sanitarias,Cupos.Residencias.Sanitarias,Usuarios.Residencias.Sanitarias,Vacunados.Primera.Dosis,Vacunados.Segunda.Dosis,Vacunados.Tercera.Dosis,Vacunados.Cuarta.Dosis,Vacunados.Unica.Dosis
Nuble,511551,13178,2022-03-08,398,22,76,496,"96,9600294",87696,0,791,"0,9019795658",3629,1,10186,83104,2020-03-12,727,33,872,745542,"56,88073394",0,3,88,26,493367,481065,385041,50415,11284
Biobio,1663696,23890,2022-03-08,1211,166,339,1716,"103,1438436",309939,0,3257,"1,050851942",11957,2,35975,294090,2020-03-09,730,104,4124,3280732,"41,61008729",0,3,421,254,1502492,1459204,1170193,159499,43893
Araucania,1014343,31842,2022-03-08,441,21,296,758,"74,7281738",194406,0,1803,"0,9274405111",4999,4,11325,187170,2020-03-16,723,46,1761,1371208,"43,04372516",0,2,174,56,936599,906870,686228,81880,28854
Los Rios,405835,18429,2022-03-08,204,15,105,324,"79,83540109",96645,0,878,"0,9084794868",2682,1,6042,92867,2020-03-16,723,16,652,747221,"49,69325153",0,1,120,50,375615,363733,285344,36239,13116
Los Lagos,891440,48583,2022-03-08,369,81,119,569,"63,82930988",177323,0,1757,"0,990847211",4214,0,16338,170965,2020-03-07,732,60,1590,2241130,"35,78616352",0,2,110,68,816483,788457,613970,63160,38101
Aysen,107297,108494,2022-03-08,32,22,1,55,"51,25958787",22250,0,135,"0,606741573",517,0,1793,21565,2020-03-14,725,3,160,248828,"34,375",0,1,25,3,93023,90320,76216,7407,10692
Magallanes,178362,132033,2022-03-08,56,4,26,86,"48,21654837",47522,0,575,"1,209965911",579,1,3298,46223,2020-03-17,722,9,261,434727,"32,95019157",0,2,41,19,155690,152218,134946,19174,14991
Total,19458310,755839,2022-03-08,7330,970,2515,10815,"55,58036643",3214326,34,43260,"1,345849799",76783,23,354102,3086309,2020-03-03,736,1060,41199,30833110,"26,25063715",0,39,3505,1148,17256861,16713245,13203113,1690929,574368
Arica y Parinacota,252110,16873,2022-03-07,44,18,6,68,"26,97235334",53158,1,647,"1,217126303",503,0,3446,51856,2020-03-19,719,4,531,601642,"12,80602637",0,1,80,20,222332,211088,157421,15803,10223
Tarapaca,382773,42225,2022-03-07,36,26,14,76,"19,85510995",77405,0,950,"1,227310897",533,0,10404,75815,2020-03-23,715,14,1133,853610,"6,707855252",0,5,322,153,338922,316858,235735,18959,18953
Antofagasta,691854,126049,2022-03-07,114,93,34,241,"34,83393895",116038,1,1418,"1,222013478",1587,0,6827,112767,2020-03-14,724,35,2634,1548590,"9,149582384",0,4,193,49,626553,602289,463927,37683,21121
Atacama,314709,75176,2022-03-07,121,40,79,240,"76,26092676",59690,0,430,"0,7203886748",2159,0,1746,57029,2020-03-14,724,11,909,685972,"26,40264026",0,1,30,22,298835,286353,215017,22112,7369
Coquimbo,836096,40579,2022-03-07,398,63,100,561,"67,09755818",111846,5,1278,"1,142642562",3296,0,9388,107050,2020-03-19,719,24,1923,1024736,"29,17316693",0,1,95,31,770200,742911,574448,62576,24165
Valparaiso,1960170,16396,2022-03-07,787,98,336,1221,"62,29051562",271676,11,4084,"1,503261238",7722,2,50229,259224,2020-03-16,722,88,4128,2481913,"29,57848837",0,1,277,35,1816843,1761237,1392079,202867,51447
Metropolitana,8125072,15403,2022-03-07,2278,394,1349,4021,"49,48879222",1241671,40,21314,"1,716557768",26078,9,161639,1190524,2020-03-04,734,499,23126,11747110,"17,38735622",0,6,1189,325,6794241,6590908,5257714,671186,225640
OHiggins,991063,16387,2022-03-07,559,80,114,753,"75,97902454",131837,8,1790,"1,357737206",4691,0,14820,125036,2020-03-19,719,52,1579,1119832,"47,68841039",0,2,49,30,950856,923777,724795,83642,23348
Maule,1131939,30296,2022-03-07,902,115,459,1476,"130,3957192",207459,21,2119,"1,021406639",9572,2,10646,195379,2020-03-03,735,54,3803,1668538,"38,81146463",0,4,291,126,1062311,1031127,813281,99876,31169
Nuble,511551,13178,2022-03-07,528,34,257,819,"160,1013389",87195,5,791,"0,9071621079",4268,1,10186,81964,2020-03-12,726,26,1921,744670,"42,63404477",0,3,88,37,493287,480870,384308,47964,11284
Biobio,1663696,23890,2022-03-07,1330,232,426,1988,"119,4929843",308184,20,3257,"1,056836176",13804,1,35974,290488,2020-03-09,729,106,5251,3276608,"37,85945534",0,3,421,300,1502129,1458670,1168024,152949,43893
Araucania,1014343,31842,2022-03-07,503,123,467,1093,"107,7544775",193659,13,1803,"0,9310179233",5876,4,11324,185546,2020-03-16,722,48,3374,1369447,"32,39478364",0,2,174,64,936369,906506,684844,78383,28851
Los Rios,405835,18429,2022-03-07,251,20,166,437,"107,6792292",96320,7,878,"0,9115448505",3276,1,6042,91948,2020-03-16,722,15,1176,746569,"37,15986395",0,1,120,50,375554,363620,284955,35299,13115
Los Lagos,891440,48583,2022-03-07,287,132,242,661,"74,14969039",176750,14,1757,"0,9940594059",5256,2,16339,169351,2020-03-07,731,60,2666,2239540,"24,79369842",0,2,110,84,816333,788209,613017,60931,38101
Aysen,107297,108494,2022-03-07,26,33,0,59,"54,9875579",22196,2,135,"0,6082176969",672,0,1794,21356,2020-03-14,724,4,312,248668,"18,91025641",0,1,25,8,92996,90285,76118,7179,10690
Magallanes,178362,132033,2022-03-07,54,6,46,106,"59,42969915",47435,1,575,"1,212185095",680,1,3298,46035,2020-03-17,721,11,648,434466,"16,35802469",0,2,41,20,155679,152180,134815,18554,14991
Total,19458310,755839,2022-03-07,8218,1507,4095,13820,"71,02363977",3202562,149,43226,"1,349731871",89973,23,354102,3061410,2020-03-03,735,1051,55114,30791911,"25,07529847",0,39,3505,1354,17253440,16706888,13180498,1615963,574360
Arica y Parinacota,252110,16873,2022-03-06,55,22,4,81,"32,12883265",53090,2,646,"1,216801658",528,0,3446,51765,2020-03-19,718,5,708,601111,"11,44067797",0,1,80,20,222279,210975,157056,15218,10223
Tarapaca,382773,42225,2022-03-06,42,32,37,111,"28,99891058",77328,0,950,"1,228533002",538,0,10404,75734,2020-03-23,714,17,1146,852477,"9,685863874",0,5,322,177,338758,316562,235225,18131,18950
Antofagasta,691854,126049,2022-03-06,134,106,33,273,"39,45919226",115799,1,1417,"1,223672052",1530,0,6828,112587,2020-03-14,723,38,2194,1545956,"12,44302644",0,4,193,57,626379,601946,463046,35643,21121
Atacama,314709,75176,2022-03-06,145,78,173,396,"125,8305292",59419,1,430,"0,7236742456",2142,0,1746,56776,2020-03-14,723,10,1903,685063,"20,80924855",0,1,30,22,298656,286109,214458,21090,7369
Coquimbo,836096,40579,2022-03-06,565,146,78,789,"94,36715401",111244,4,1273,"1,14433138",3276,0,9387,106476,2020-03-19,718,25,2328,1022813,"33,89175258",0,1,95,39,769985,742508,573376,59261,24165
Valparaiso,1960170,16396,2022-03-06,1103,203,400,1706,"87,03326752",270432,9,4073,"1,506108745",7947,2,50229,257777,2020-03-16,721,91,5312,2477785,"32,11596386",0,1,277,41,1816416,1760474,1389738,191371,51447
Metropolitana,8125072,15403,2022-03-06,3079,578,1955,5612,"69,07015716",1237529,43,21274,"1,719070826",26633,9,161638,1185881,2020-03-04,733,494,30487,11723984,"18,40784597",0,6,1189,353,6792811,6588459,5248610,635419,225640
OHiggins,991063,16387,2022-03-06,585,221,174,980,"98,88372384",131074,2,1782,"1,359537361",4676,0,14820,124301,2020-03-19,718,51,2116,1118253,"46,31379962",0,2,49,28,950568,923350,723264,78542,23348
Maule,1131939,30296,2022-03-06,1429,429,353,2211,"195,3285469",205954,13,2098,"1,018674073",9900,2,10646,193568,2020-03-03,734,60,5105,1664735,"43,31047992",0,4,291,140,1061994,1030655,811780,95678,31169
Nuble,511551,13178,2022-03-06,571,44,335,950,"185,7097337",86377,1,786,"0,9099644581",4154,0,10186,81266,2020-03-12,725,28,2010,742749,"47,26368159",0,3,88,44,493171,480666,383647,45260,11284
Biobio,1663696,23890,2022-03-06,1623,407,816,2846,"171,0649061",306191,7,3237,"1,057183261",14016,2,35972,288305,2020-03-09,728,97,6401,3271357,"44,46180284",0,3,421,293,1501684,1458018,1165720,145751,43893
Araucania,1014343,31842,2022-03-06,635,190,430,1255,"123,7254065",192554,18,1790,"0,9296093563",5766,5,11325,184570,2020-03-16,721,44,3585,1366073,"35,0069735",0,2,174,70,936054,906048,683331,74646,28851
Los Rios,405835,18429,2022-03-06,431,64,267,762,"187,7610359",95874,7,871,"0,908484052",3425,0,6041,91363,2020-03-16,721,13,1494,745393,"51,00401606",0,1,120,54,375418,363428,284353,33964,13112
Los Lagos,891440,48583,2022-03-06,611,242,255,1108,"124,2932783",176072,11,1743,"0,9899359353",5499,3,16339,168448,2020-03-07,730,62,3163,2236874,"35,03003478",0,2,110,85,816103,787883,611786,58564,38099
Aysen,107297,108494,2022-03-06,59,53,3,115,"107,1791383",22138,1,133,"0,6007769446",709,0,1793,21263,2020-03-14,723,3,312,248356,"36,85897436",0,1,25,10,92959,90238,75982,6882,10690
Magallanes,178362,132033,2022-03-06,107,17,34,158,"88,58389119",47330,2,574,"1,212761462",671,1,3298,45942,2020-03-17,720,12,715,433818,"22,0979021",0,2,41,22,155645,152146,134636,17869,14991
Total,19458310,755839,2022-03-06,11174,2832,5347,19353,"99,45879164",3188448,122,43077,"1,351033481",91410,24,354098,3046064,2020-03-03,734,1050,68979,30736797,"28,05636498",0,39,3505,1455,17248880,16699465,13156008,1533289,574352
Arica y Parinacota,252110,16873,2022-03-05,39,50,7,96,"38,07861648",53010,3,644,"1,21486512",540,0,3446,51678,2020-03-19,717,7,596,600403,"16,10738255",0,1,80,18,222279,210975,157056,15218,10223
Tarapaca,382773,42225,2022-03-05,36,36,20,92,"24,03513309",77211,1,950,"1,230394633",516,1,10405,75638,2020-03-23,713,18,1215,851331,"7,572016461",0,5,322,123,338758,316562,235225,18131,18950
Antofagasta,691854,126049,2022-03-05,156,101,65,322,"46,54161138",115530,1,1416,"1,225655674",1539,1,6829,112311,2020-03-14,722,41,2460,1543762,"13,08943089",0,4,193,57,626379,601946,463045,35643,21121
Atacama,314709,75176,2022-03-05,190,92,141,423,"134,4098834",59003,1,429,"0,7270816738",2061,0,1746,56443,2020-03-14,722,8,1062,683160,"39,83050847",0,1,30,25,298656,286108,214454,21088,7369
Coquimbo,836096,40579,2022-03-05,553,93,72,718,"85,87530618",110397,5,1269,"1,149487758",3108,1,9388,105802,2020-03-19,717,25,1987,1020485,"36,1348767",0,1,95,25,769983,742506,573371,59238,24165
Valparaiso,1960170,16396,2022-03-05,1230,136,560,1926,"98,25678385",268693,14,4064,"1,512506839",7954,4,50229,256044,2020-03-16,720,90,5360,2472473,"35,93283582",0,1,277,36,1816416,1760474,1389738,191369,51447
Metropolitana,8125072,15403,2022-03-05,3192,527,2004,5723,"70,4362989",1231620,25,21231,"1,723827154",25833,7,161637,1180833,2020-03-04,732,501,28983,11693497,"19,74605803",0,6,1189,325,6792779,6588419,5248489,635300,225640
OHiggins,991063,16387,2022-03-05,686,272,130,1088,"109,7811138",130028,5,1780,"1,368935921",4489,0,14820,123448,2020-03-19,717,49,1822,1116137,"59,71459934",0,2,49,27,950568,923350,723262,78541,23348
Maule,1131939,30296,2022-03-05,1454,449,275,2178,"192,4131954",203537,22,2085,"1,024383773",9320,0,10644,191748,2020-03-03,733,56,4682,1659630,"46,5185818",0,4,291,138,1061994,1030654,811771,95677,31169
Nuble,511551,13178,2022-03-05,554,38,290,882,"172,4168265",85421,4,785,"0,9189777689",4065,2,10187,80400,2020-03-12,724,26,1800,740739,49,0,3,88,46,493165,480649,383593,45238,11284
Biobio,1663696,23890,2022-03-05,1680,382,857,2919,"175,4527269",303303,22,3230,"1,064941659",13530,3,35976,285916,2020-03-09,727,100,6959,3264956,"41,94568185",0,3,421,291,1501684,1458017,1165710,145725,43893
Araucania,1014343,31842,2022-03-05,795,267,527,1589,"156,6531242",191266,19,1772,"0,9264584401",5884,3,11322,183186,2020-03-16,720,50,4156,1362488,"38,23387873",0,2,174,86,936054,906048,683331,74645,28851
Los Rios,405835,18429,2022-03-05,473,77,300,850,"209,4447251",95117,11,864,"0,9083549733",3345,0,6041,90695,2020-03-16,720,14,1545,743899,"55,01618123",0,1,120,53,375418,363426,284352,33963,13112
Los Lagos,891440,48583,2022-03-05,689,250,484,1423,"159,6293637",174965,11,1732,"0,9899122682",5443,3,16338,167409,2020-03-07,729,60,4185,2233711,"34,00238949",0,2,110,79,816103,787883,611786,58563,38099
Aysen,107297,108494,2022-03-05,63,59,4,126,"117,4310559",22024,2,132,"0,5993461678",709,0,1794,21150,2020-03-14,722,3,357,248044,"35,29411765",0,1,25,8,92959,90238,75982,6882,10690
Magallanes,178362,132033,2022-03-05,92,18,38,148,"82,9773158",47167,0,572,"1,212712278",597,1,3298,45856,2020-03-17,719,13,571,433103,"25,91943958",0,2,41,15,155645,152146,134636,17869,14991
Total,19458310,755839,2022-03-05,11882,2847,5774,20503,"105,368863",3168335,146,42955,"1,355759413",88933,26,354100,3028599,2020-03-03,733,1061,67740,30667818,"30,26719811",0,39,3505,1352,17248840,16699401,13155801,1533090,574352
Arica y Parinacota,252110,16873,2022-03-04,65,56,3,124,"49,18487962",52914,0,641,"1,21139963",576,0,3446,51550,2020-03-19,716,4,717,599807,"17,29428173",0,1,80,15,222276,210966,156992,15183,10223
Tarapaca,382773,42225,2022-03-04,48,31,17,96,"25,08013888",77116,1,949,"1,230613621",515,2,10406,75546,2020-03-23,712,18,1485,850116,"6,464646465",0,5,322,122,338720,316494,235103,18060,18950
Antofagasta,691854,126049,2022-03-04,150,109,66,325,"46,97522888",115188,0,1415,"1,228426572",1560,0,6827,111953,2020-03-14,721,39,1674,1541302,"19,41457587",0,4,193,47,626365,601941,462984,35605,21121
Atacama,314709,75176,2022-03-04,174,59,187,420,"133,4566218",58562,3,428,"0,7308493562",2105,0,1746,55959,2020-03-14,721,10,1022,682098,"41,09589041",0,1,30,27,298656,286106,214446,21083,7369
Coquimbo,836096,40579,2022-03-04,672,137,122,931,"111,3508497",109613,9,1264,"1,153147893",3153,1,9389,104981,2020-03-19,716,27,2485,1018498,"37,46478873",0,1,95,25,769971,742465,573258,59123,24165
Valparaiso,1960170,16396,2022-03-04,1254,167,710,2131,"108,7150604",266700,22,4050,"1,51856018",7907,6,50229,254119,2020-03-16,719,94,6081,2467113,"35,04357836",0,1,277,45,1816408,1760447,1389571,191210,51447
Metropolitana,8125072,15403,2022-03-04,3578,625,2326,6529,"80,356211",1225676,39,21206,"1,730147282",26296,8,161635,1174465,2020-03-04,731,514,29507,11664514,"22,12695293",0,6,1189,326,6792508,6587963,5246204,632958,225640
OHiggins,991063,16387,2022-03-04,808,249,144,1201,"121,1830126",128941,6,1775,"1,376598599",4549,1,14821,122305,2020-03-19,716,53,2477,1114315,"48,48607186",0,2,49,24,950535,923303,723005,78217,23348
Maule,1131939,30296,2022-03-04,1729,536,377,2642,"233,4048036",201348,8,2063,"1,024594235",9187,0,10645,189716,2020-03-03,732,61,5334,1654948,"49,53130859",0,4,291,141,1061940,1030580,811554,95461,31169
Nuble,511551,13178,2022-03-04,608,45,290,943,"184,3413462",84531,4,781,"0,9239214016",4257,1,10187,79325,2020-03-12,723,29,1740,738939,"54,1954023",0,3,88,47,493130,480588,383340,45061,11284
Biobio,1663696,23890,2022-03-04,1867,449,1132,3448,"207,2494013",300380,9,3208,"1,067980558",13870,5,35976,282677,2020-03-09,726,99,7511,3257997,"45,90600453",0,3,421,277,1501613,1457920,1165170,145219,43893
Araucania,1014343,31842,2022-03-04,830,278,492,1600,"157,73757",189666,7,1753,"0,9242563243",6122,4,11322,181364,2020-03-16,719,52,3944,1358332,"40,56795132",0,2,174,76,936012,905992,683161,74430,28851
Los Rios,405835,18429,2022-03-04,506,58,279,843,"207,7198862",94269,9,853,"0,9048573762",3431,0,6040,89775,2020-03-16,719,15,1637,742354,"51,4966402",0,1,120,44,375389,363378,284238,33852,13112
Los Lagos,891440,48583,2022-03-04,716,349,491,1556,"174,5490442",173571,3,1721,"0,991525082",5593,4,16338,165879,2020-03-07,728,65,4512,2229526,"34,4858156",0,2,110,71,816102,787881,611780,58552,38099
Aysen,107297,108494,2022-03-04,82,80,2,164,"152,8467711",21896,4,130,"0,5937157472",744,0,1794,20989,2020-03-14,721,3,486,247687,"33,74485597",0,1,25,6,92956,90226,75962,6849,10690
Magallanes,178362,132033,2022-03-04,108,17,54,179,"100,3576995",47020,2,572,"1,216503615",614,0,3298,45692,2020-03-17,718,13,593,432532,"30,18549747",0,2,41,9,155639,152135,134579,17786,14991
Total,19458310,755839,2022-03-04,13195,3245,6692,23132,"118,8797999",3147434,126,42809,"1,360123834",90479,32,354099,3006337,2020-03-03,732,1096,71205,30600078,"32,48648269",0,39,3505,1302,17248220,16698385,13151347,1528649,574352
Arica y Parinacota,252110,16873,2022-03-03,80,61,1,142,"56,32462021",52789,4,641,"1,214268124",578,0,3446,51424,2020-03-19,715,5,970,599090,"14,63917526",0,1,80,18,222175,210830,156631,14635,10223
Tarapaca,382773,42225,2022-03-03,48,67,44,159,"41,53898002",77014,5,948,"1,230945023",518,0,10404,75442,2020-03-23,711,20,1695,848631,"9,380530973",0,5,322,130,338511,316170,234512,17545,18937
Antofagasta,691854,126049,2022-03-03,169,157,87,413,"59,69467547",114834,5,1415,"1,232213456",1700,1,6827,111459,2020-03-14,720,41,2431,1539628,"16,98889346",0,4,193,35,626131,601530,461404,34119,21121
Atacama,314709,75176,2022-03-03,236,100,269,605,"192,2410862",58115,5,425,"0,7313086122",2207,0,1746,55412,2020-03-14,720,12,2197,681076,"27,53755121",0,1,30,22,298463,285856,213748,20516,7369
Coquimbo,836096,40579,2022-03-03,592,177,115,884,"105,7294856",108599,8,1255,"1,155627584",3071,0,9390,104061,2020-03-19,715,24,2113,1016013,"41,83625177",0,1,95,21,769607,741909,571808,56626,24165
Valparaiso,1960170,16396,2022-03-03,1353,173,524,2050,"104,5827658",264414,41,4028,"1,523368657",7900,5,50231,251865,2020-03-16,718,97,5653,2461032,"36,26393066",0,1,277,52,1815923,1759602,1387128,184846,51447
Metropolitana,8125072,15403,2022-03-03,3612,752,1688,6052,"74,48549379",1218187,46,21167,"1,737582161",25543,9,161638,1167783,2020-03-04,730,519,26910,11635007,"22,48978075",0,6,1189,281,6790681,6584771,5232892,609331,225639
OHiggins,991063,16387,2022-03-03,781,246,92,1119,"112,9090683",127669,15,1769,"1,385614362",4669,1,14821,120921,2020-03-19,715,51,1911,1111838,"58,55572998",0,2,49,33,950259,922882,721071,75129,23348
Maule,1131939,30296,2022-03-03,1611,487,375,2473,"218,4746705",198580,20,2055,"1,034847417",8892,0,10648,187254,2020-03-03,731,58,4684,1649614,"52,79675491",0,4,291,131,1061520,1029894,809362,92357,31169
Nuble,511551,13178,2022-03-03,693,41,389,1123,"219,5284537",83592,13,777,"0,9295147861",4415,2,10187,78234,2020-03-12,722,29,2021,737199,"55,56655121",0,3,88,39,492942,480251,382472,43333,11284
Biobio,1663696,23890,2022-03-03,1907,566,1182,3655,"219,6915783",296910,39,3199,"1,077430871",14236,4,35977,278855,2020-03-09,725,99,8015,3250486,"45,60199626",0,3,421,285,1500843,1456848,1162234,140753,43893
Araucania,1014343,31842,2022-03-03,902,233,634,1769,"174,3986009",188007,31,1746,"0,9286888254",6571,2,11320,179263,2020-03-16,718,53,4936,1354388,"35,83873582",0,2,174,74,935476,905277,681177,71594,28851
Los Rios,405835,18429,2022-03-03,544,92,324,960,"236,5493366",93443,17,844,"0,9032244256",3572,0,6041,88819,2020-03-16,718,15,1852,740717,"51,83585313",0,1,120,40,375174,363076,283597,32954,13111
