Region,Poblacion,Superficie,Fecha,Nuevos.Sintomaticos,Nuevos.Asintomaticos,Nuevos.No.Notificados,Nuevos.Confirmados,Tasa.Incidencia,Casos.Confirmados,Nuevos.Fallecidos,Casos.Fallecidos,Letalidad,Activos.Confirmados,Activos.Probables,Probables.Acumulados,Recuperados.Confirmados,Fecha.Primer.Contagiado,Periodo.Infeccioso,Pacientes.UCI,Examenes.PCR,Examenes.PCR.Acumulados,Tasa.Positividad,I.Movilidad,Residencias.Sanitarias,Cupos.Residencias.Sanitarias,Usuarios.Residencias.Sanitarias,Vacunados.Primera.Dosis,Vacunados.Segunda.Dosis,Vacunados.Tercera.Dosis,Vacunados.Cuarta.Dosis,Vacunados.Unica.Dosis
Metropolitana,8125072,15403,2021-05-27,2708,619,325,3652,"44,94729401",562403,52,15262,"2,713712409",17530,6081,111377,529091,2020-03-04,450,1787,23173,5407266,"15,75972036",0,23,3372,1888,4149412,3110846,0,0,0
OHiggins,991063,16387,2021-05-27,252,90,8,350,"35,31561566",55657,9,1140,"2,048259877",2127,502,11398,52378,2020-03-19,435,142,2701,560327,"12,95816364",0,11,561,301,573850,430941,0,0,0
Maule,1131939,30296,2021-05-27,414,173,8,595,"52,56467",82761,11,1350,"1,631203103",3161,559,7661,78212,2020-03-03,451,104,3860,771855,"15,41450777",0,22,1119,695,641618,485146,0,0,0
Nuble,511551,13178,2021-05-27,169,33,4,206,"40,26968963",29530,12,497,"1,683034203",952,320,8468,28074,2020-03-12,442,53,1978,339348,"10,41456016",0,10,353,222,312747,249104,0,0,0
Biobio,1663696,23890,2021-05-27,475,160,16,651,"39,12974486",128044,13,2053,"1,603355097",3335,1192,27721,122601,2020-03-09,445,181,9675,1558544,"6,728682171",0,23,1562,1138,910373,723187,0,0,0
Araucania,1014343,31842,2021-05-27,284,111,14,409,"40,32166634",81226,16,1032,"1,270529141",2090,626,9501,78070,2020-03-16,438,104,2666,620265,"15,34133533",0,13,860,546,550674,431680,0,0,0
Los Rios,405835,18429,2021-05-27,191,123,17,331,"81,56024",38157,7,434,"1,137405981",1326,261,4203,36401,2020-03-16,438,25,2403,335137,"13,77444861",0,10,569,219,223797,178379,0,0,0
Los Lagos,891440,48583,2021-05-27,275,156,31,462,"51,82625864",75932,8,1025,"1,349892009",1977,611,12810,72912,2020-03-07,447,86,5849,1177762,"7,898786117",0,12,625,327,475529,371092,0,0,0
Aysen,107297,108494,2021-05-27,54,39,0,93,"86,67530313",5647,0,33,"0,5843810873",482,118,1213,5134,2020-03-14,440,10,772,108706,"12,04663212",0,5,121,62,58218,44135,0,0,0
Magallanes,178362,132033,2021-05-27,43,8,2,53,"29,71484958",27581,4,399,"1,446648055",409,112,2955,26760,2020-03-17,437,26,948,225483,"5,5907173",0,14,500,133,111665,93147,0,0,0
